id,name,name_en,year,mission,target_group,category,service_tags,impact_tags,enterprise_tags,products_services,esg_plans,website,email,facebook,instagram,location,districts,sdgs,see_mark_level,languages
SE-011,公平棧,Fair Trade Hong Kong,2006,推動公平貿易，支持發展中國家農民及工匠,發展中國家農民、本地社區,公平貿易,,公平貿易|可持續發展|社會創新,禮品採購,公平貿易產品零售|巧克力、咖啡、茶葉、蜂蜜|手織品及工藝品|企業禮品方案,企業節慶禮品採購（道德消費）|公平貿易教育培訓|ESG供應鏈優化建議,https://www.fairtradehk.org,,,,香港,,SDG12,,粵語|英語
SE-012,活在一片天,Living Dreams,2011,為精神病康復者提供藝術發展及就業機會,精神病康復者、精神健康需要人士,藝術文化,精神健康,精神康復|藝術治療|傷健共融,禮品採購|培訓工作坊,藝術作品零售及展覽|藝術治療工作坊|企業心理健康培訓|藝術商品定製,企業藝術品收藏及陳列|員工心理健康日活動|公益拍賣捐贈,,,,,香港,,SDG3|SDG8,,粵語|英語
SE-013,香港融樂會,Hong Kong Unison,2001,促進少數族裔融入香港社會，推動種族平等,少數族裔人士（南亞裔、東南亞裔為主）,多元共融,少數族裔,社區共融|就業培訓|社會創新,培訓工作坊,語言培訓服務（粵語、英語、普通話）|就業輔導及轉介|文化共融活動策劃|翻譯及傳譯服務,企業多元共融培訓（DEI工作坊）|少數族裔人才實習計劃|跨境文化交流活動,https://www.unison.org.hk,,,,香港,,SDG10,,粵語|英語|烏都語|印地語|尼泊爾語
SE-014,惜食堂,Food Angel,2011,從飲食界回收仍可安全食用之剩餘食物，煮成免費飯餐給予需要的人,基層家庭、長者、食物銀行,食物回收,基層家庭|長者服務,環保減廢|扶貧脫困|社區共融,員工活動,免費飯餐製作及派發|食物回收及分配|企業食物捐贈計劃|環保教育,企業食物捐贈（ESG減廢指標）|員工志願服務（包飯活動）|ESG年度報告社區指標|企業剩食回收合作,https://www.foodangel.org.hk,,,,香港,深水埗|觀塘|荃灣,SDG2|SDG12,創越級,粵語|英語
SE-015,長者安居協會,Senior Citizen Home Safety Association,1996,讓長者可隨心選擇在社區過著有素質的晚年生活,長者、有需要人士,長者服務,長者服務,長者關懷|科技應用|社會創新,培訓工作坊,一線通平安鐘|隨身寶|平安手機|智平安APP|管家易上門服務,企業員工關顧計劃|長者科技產品採購|志願服務合作,https://www.schsa.org.hk,,,,香港,全港各區,SDG3|SDG11,創越級,粵語|英語|普通話
SE-016,匡智社會企業部,Hong Chi Social Enterprise,1970,為智障學員提供多元化工作機會，建立自我價值及提昇競爭力,智障人士,餐飲服務,智障人士,傷健共融|就業培訓|青年發展,餐飲服務|培訓工作坊,匡智餐廳（Café）|中央廚房（飯盒及到會）|HC Café|匡智廊及匡智庭,企業團體膳食服務|智障人士就業計劃合作|員工包容文化培訓,https://hcseo.org.hk,,,,香港,沙田|灣仔|香港仔,SDG8|SDG10,創進級,粵語
SE-017,好主意餐飲服務,Good Idea Catering Service,2004,為公眾提供健康及優質之餐飲食品,公眾,餐飲服務,,社會創新,餐飲服務,到會服務|餐飲外賣|節慶食品,企業活動餐飲服務|節慶聚餐到會,https://www.goodideashk.com,,,,香港,,SDG8,創建級,粵語
SE-018,樂農,Lo Hang,2011,為聽障人士提供就業機會,聽障人士,餐飲服務,聽障人士,傷健共融|就業培訓,餐飲服務,素食餐廳|到會服務,企業活動餐飲服務|聽障就業支援,,,,,香港,,SDG8|SDG10,,粵語
SE-019,銀杏館,Gingko House,2003,為長者提供就業機會，發揮銀髮生產力,長者,餐飲服務,長者服務,長者關懷|就業培訓,餐飲服務,餐廳服務|送遞服務|到會服務,企業聚餐活動|長者就業支持,https://www.gingkohouse.hk,,,,香港,中環|太子,SDG8,創進級,粵語|英語
SE-020,新生精神康復會,New Life Psychiatric Rehabilitation Association,1968,為精神病康復者開創訓練及就業機會,精神病康復者,綜合服務,精神健康,精神康復|就業培訓,零售|培訓工作坊,新生健康生活專門店|新生農場有機蔬菜|社企餐廳,員工心理健康培訓|有機產品採購,https://www.nlpra.org.hk,,,,香港,屯門|尖沙咀|大圍,SDG3|SDG8,創越級,粵語|英語
SE-021,愛烘焙麵包工房,Love Bakery,2008,為殘疾人士提供多元化的訓練及工作機會,殘疾人士,烘焙餐飲,殘疾就業,傷健共融|就業培訓,餐飲服務|禮品採購,烘焙麵包|餐廳服務,企業節慶麵包禮盒|殘疾就業支持,,,,,香港,堅尼地城|金鐘,SDG8|SDG10,,粵語
SE-022,東華三院社企服務,Tung Wah Group of Hospitals Social Enterprise,1870,為弱勢社群提供就業機會及社會服務,殘疾人士、基層家庭、長者,綜合服務,殘疾就業|長者服務|基層家庭,社區共融|就業培訓,餐飲服務|禮品採購|零售,烘焙服務|零售店|餐飲服務,企業禮品採購|志願服務活動,https://www.tungwah.org.hk,,,,香港,,SDG8|SDG10,,粵語|英語
SE-023,基督教家庭服務中心 社企,Christian Family Service Centre SE,1970,以基督教精神服務社區，支援基層家庭,基層家庭、婦女、青少年、兒童,社會服務,基層家庭|婦女支援|青年就業,社區共融|家庭支援|就業培訓,餐飲服務|員工活動,社區餐飲服務|環保回收及升級再造產品|家庭及青少年支援服務|手工藝品零售,企業家庭日活動|環保升級再造工作坊|ESG社區投資計劃,https://www.cfsc.org.hk,,,,香港,觀塘,SDG1|SDG8,,粵語
SE-024,香港善導會 社企服務,Hong Kong Sheng Kung Hui Welfare Council Social Enterprise,1865,支援邊緣青少年及釋囚重投社會,邊緣青少年、釋囚、基層青年,青年服務,青年就業,青年發展|社區共融|就業培訓,餐飲服務|培訓工作坊,餐飲服務（社企餐廳）|手工藝品|青少年培訓計劃|咖啡店,企業團隊訓練活動|青少年就業計劃合作|CSR活動策劃,https://www.skhsob.org.hk,,,,香港,,SDG8|SDG10,,粵語|英語
SE-025,黑暗中對話,Dialogue in the Dark,2008,促進社會共融，讓視障人士展現能力,視障人士、公眾,體驗教育,視障人士,傷健共融|社會創新|社區共融,培訓工作坊|員工活動,黑暗體驗工作坊|企業培訓|視障就業機會,企業包容文化培訓|團隊建立活動|視障就業支持,https://www.dialogue-in-the-dark.hk,,,,香港,美孚,SDG8|SDG10,創越級,粵語|英語
SE-026,黑暗中一道光,A Bright Light in the Dark,2015,為視障及低收入青年提供數碼技能培訓,視障人士、低收入青年、SEN青年,科技培訓,視障人士|青年就業,青年發展|就業培訓|傷健共融,培訓工作坊,數碼技能培訓（平面設計、社交媒體運營）|弱勢青年就業配對|科技輔助工具訓練,企業數碼化培訓合作|包容性科技應用工作坊|青年見習計劃,,,,,香港,,SDG4|SDG8,,粵語
SE-027,廚師之選,Chef's Choice,2016,為基層青年提供專業餐飲培訓及就業機會,基層青年（16-24歲）、待業人士,餐飲培訓,青年就業,青年發展|就業培訓|扶貧脫困,餐飲服務|培訓工作坊,餐飲培訓課程|外賣餐飲服務|企業餐飲 catering|廚藝比賽及活動,企業活動餐飲服務|青年餐飲見習計劃|ESG扶貧教育資助,,,,,香港,,SDG4|SDG8,,粵語
SE-028,永年茶餐廳,Wing Nien Restaurant,2017,為基層青年及釋囚提供餐飲業培訓及就業機會，傳承香港地道飲食文化,基層青年、釋囚、待業人士,餐飲服務,青年就業,青年發展|就業培訓|文化傳承,餐飲服務,茶餐廳餐飲服務|餐飲培訓工作坊|企業 catering|香港傳統美食零售,企業團體餐飲服務|餐飲見習及實習計劃|CSR活動合作（包場服務）,,,,,香港,,SDG8,,粵語|英語
SE-029,救世軍社企服務,The Salvation Army Social Enterprise,1930,為殘疾人士及弱勢社群提供就業機會,殘疾人士、基層家庭,綜合服務,殘疾就業|基層家庭,傷健共融|就業培訓|社區共融,零售|禮品採購,家品店|手工藝品零售|就業培訓服務,企業物資捐贈|志願服務合作|禮品採購,https://www.salvationarmy.org.hk,,,,香港,,SDG8|SDG10,,粵語|英語
SE-030,循道衛理楊震社會服務處,Yang Memorial Methodist Social Service,1967,為弱勢社群提供多元化社會服務,長者、青少年、基層家庭,社會服務,長者服務|青年就業|基層家庭,社區共融|家庭支援|長者關懷,培訓工作坊,社區服務|就業培訓|青少年服務,企業志願服務|社區服務合作,https://www.yang.org.hk,,,,香港,,SDG1|SDG11,,粵語
SE-031,大澳文化生態綜合資源中心,Tai O Cultural and Ecological Integrated Resource Centre,2006,利用大澳的文化和生態資產，協助地區就業,低技術及低學歷人士,生態旅遊,基層家庭,可持續發展|社區共融|就業培訓,活動策劃,生態導賞|文化活動|紀念品零售,企業團隊活動（生態遊）|可持續發展教育,,,,,香港,大澳,SDG8|SDG11,,粵語
SE-032,庭恩兒童中心,Benji's Centre,2005,為低收入家庭有語言障礙的兒童提供治療服務,語言障礙兒童、低收入家庭,兒童服務,基層家庭,兒童發展|家庭支援,禮品採購,語言治療服務|專業評估,企業捐款支持|兒童語言治療資助計劃,https://www.benjiscentre.org.hk,,,,香港,,SDG3|SDG4,,粵語|英語
SE-033,Leonidas - Fresh Belgian Chocolates,Leonidas,1998,所有收入扣除開支後，全數撥款支持庭恩兒童中心,語言障礙兒童,零售,,兒童發展|社會創新,禮品採購,比利時巧克力零售,企業節慶禮品採購|慈善支持,,,,,香港,中環|銅鑼灣|奧海城|海怡半島|康怡,SDG4,,粵語|英語
SE-034,豐盛社企學會,Fullness Social Enterprise Society,2011,推動社企發展，培育社會創業家,社企創業家、公眾,社企支援,,社會創新|就業培訓,培訓工作坊,社企培訓課程|顧問服務|研究報告,社企發展培訓|社會創新顧問,https://www.fullness.org.hk,,,,香港,,SDG8,,粵語|英語
SE-035,香港社會企業總會,Hong Kong General Chamber of Social Enterprises,2009,推動及支援社會企業發展,社會企業,社企支援,,社會創新,培訓工作坊,社企認證（SEE Mark）|社企培訓|顧問服務,社企採購顧問|ESG社會採購指標,https://sechamber.hk,,,,香港,,SDG8|SDG17,,粵語|英語|普通話
SE-036,社聯-滙豐社企商務中心,HKCSS-HSBC Social Enterprise Business Centre,2008,推動社企發展，促進商社合作,社會企業、企業,社企支援,,社會創新|社區共融,培訓工作坊,社企指南|配對服務|培訓課程,企業社會採購方案|社企配對服務,https://sebc.hkcss.org.hk,,,,香港,,SDG8|SDG17,,粵語|英語
SE-037,仁愛堂社企服務,Yan Oi Tong Social Enterprise,1977,為弱勢社群提供就業機會及社會服務,長者、殘疾人士、基層家庭,綜合服務,長者服務|殘疾就業|基層家庭,社區共融|就業培訓,餐飲服務|零售,社企餐廳|零售服務|培訓服務,企業志願服務|餐飲服務,https://www.yot.org.hk,,,,香港,屯門|元朗,SDG8,,粵語
SE-038,博愛醫院社企服務,Pok Oi Hospital Social Enterprise,1919,為弱勢社群提供醫療及社會服務,長者、基層家庭,醫療社會服務,長者服務|基層家庭,社區共融|長者關懷,培訓工作坊,醫療服務|社會服務|中醫服務,企業健康講座|志願服務合作,https://www.pokoi.org.hk,,,,香港,元朗|屯門|天水圍,SDG3,,粵語
SE-039,香港耆康老人福利會,Hong Kong Society for the Aged,1977,為長者提供優質服務，提升生活質素,長者,長者服務,長者服務,長者關懷|社區共融,培訓工作坊,院舍服務|日間護理|家居照顧,企業長者關懷計劃|志願服務合作,https://www.sage.org.hk,,,,香港,,SDG3,,粵語
SE-040,香港萬國宣道浸信會社會服務,Hong Kong ABWE Social Services,1992,為社區提供多元化社會服務,長者、青少年、家庭,社會服務,長者服務|青年就業|基層家庭,社區共融|家庭支援,培訓工作坊,社區服務|青少年服務|長者服務,企業志願服務|社區服務合作,https://www.abwe.org.hk,,,,香港,,SDG11,,粵語
SE-041,香港平安鐘協會,Hong Kong Safety Alarm Association,2009,為長者及有需要人士提供緊急召援服務,長者、長期病患者,長者服務,長者服務,長者關懷|科技應用,禮品採購,平安鐘服務|智能手機|定位系統|善終服務,企業員工平安鐘計劃|長者關懷服務,https://hongkongssa.com,,,,香港,,SDG3|SDG11,,粵語
SE-042,明愛社企服務,Caritas Social Enterprise,1953,為弱勢社群提供多元化服務,殘疾人士、基層家庭、青少年,綜合服務,殘疾就業|基層家庭|青年就業,社區共融|就業培訓|扶貧脫困,餐飲服務|零售,餐飲服務|零售店|培訓服務,企業志願服務|餐飲服務|禮品採購,https://www.caritas.org.hk,,,,香港,,SDG1|SDG8,,粵語|英語
SE-043,香港小童群益會社企,The Boys' and Girls' Clubs Association Social Enterprise,1936,為兒童及青少年提供服務,兒童、青少年、家庭,青少年服務,青年就業,青年發展|家庭支援,培訓工作坊,青少年服務|培訓課程|家庭服務,企業青少年活動|志願服務合作,https://www.bgca.org.hk,,,,香港,,SDG4,,粵語
SE-044,香港青年協會社企,The Hong Kong Federation of Youth Groups Social Enterprise,1960,為青少年提供多元發展機會,青少年,青少年服務,青年就業,青年發展|就業培訓,培訓工作坊|活動策劃,青年就業服務|培訓課程|活動策劃,企業青年見習計劃|員工培訓活動,https://www.hkfyg.org.hk,,,,香港,,SDG4|SDG8,,粵語|英語
SE-045,香港明愛社企,Caritas Hong Kong Social Enterprise,1953,為弱勢社群提供社會服務及就業機會,殘疾人士、基層家庭、長者,綜合服務,殘疾就業|長者服務|基層家庭,社區共融|就業培訓|扶貧脫困,餐飲服務|禮品採購,明愛意糕|餐飲服務|零售|培訓服務,企業節慶禮品採購|志願服務合作,https://www.caritas.org.hk,,,,香港,,SDG8,,粵語|英語
SE-046,工聯康齡長者服務社,FTU Elderly Services,1948,為長者提供多元化服務,長者,長者服務,長者服務,長者關懷|社區共融,培訓工作坊,長者服務|醫療服務|社區服務,企業長者關懷計劃|志願服務合作,,,,,香港,,SDG3,,粵語
SE-047,傲齡動力-友待長者就業計劃,E72 Active Ageing Programme,2016,促進長者就業，發揮銀髮生產力,50歲以上長者,長者就業,長者服務,長者關懷|就業培訓,培訓工作坊,耆才導師培訓|就業配對|手工藝工作坊,企業長者見習計劃|耆才導師工作坊,https://www.e72.hk,,,,香港,,SDG8,,粵語
SE-048,仁愛堂替假護老者培訓計劃,Yan Oi Tong Respite Carer Training Programme,2024,為護老者提供替假服務，支援雙老及留守長者,護老者、獨居長者、雙老長者,長者服務,長者服務,長者關懷|家庭支援,培訓工作坊,替假護老者培訓|上門看顧服務|陪伴服務,企業員工護老者支援計劃|長者關懷服務,https://www.yot.org.hk,,,,香港,九龍城,SDG3,,粵語
SE-049,香港創啟社會科技有限公司,Hong Kong Social Technology Innovation,2018,以科技助殘，為視障人士和長者提供視力協助,視障人士、長者,科技助殘,視障人士|長者服務,傷健共融|科技應用|社會創新,培訓工作坊,智能眼鏡|視力協助科技|無障礙科技方案,企業無障礙科技方案|員工包容培訓,,,,,香港,前海,SDG3|SDG10,,粵語|英語|普通話
SE-050,銀娛社企伙伴計劃,GEG Social Enterprise Partnership,2006,推動企業社會責任，支援弱勢社群就業,殘疾人士、弱勢青年,企業社會責任,殘疾就業|青年就業,傷健共融|就業培訓|社區共融,培訓工作坊|活動策劃,就業培訓|社企合作計劃|志願服務,企業社會責任顧問|志願服務計劃|弱勢就業支持,,,,,香港,澳門|香港,SDG8|SDG17,,粵語|英語|普通話
